名   な
内容  ないよう
仲   なか
流す  ながす
半ば  なかば
仲間  なかま
眺め  ながめ
眺める ながめる
流れ  ながれ
流れる ながれる
無し  なし
謎   なぞ
納得  なっとく
等   など
七   なな
何   なに
何   なん
何か  なにか
鍋   なべ
生   なま
怠ける なまける
波   なみ
涙   なみだ
悩む  なやむ
為る  なる
成る  なる
縄   なわ
何で  なんで
何でも なんでも
何とか なんとか
似合う にあう
匂い  におい
苦手  にがて
握る  にぎる
日   にち
日常  にちじょう
日曜  にちよう
日光  にっこう
日中  にっちゅう
日本  にっぽん
日本  にほん
入院  にゅういん
入学  にゅうがく
入場  にゅうじょう
人気  にんき
人間  にんげん
抜く  ぬく
抜ける ぬける
布   ぬの
濡れる ぬれる
根   ね
値   ね
願い  ねがい
願う  ねがう
鼠   ねずみ
値段  ねだん
熱心  ねっしん
熱帯  ねったい
熱中  ねっちゅう
年間  ねんかん
年月  ねんげつ
年中  ねんじゅう
年代  ねんだい
年齢  ねんれい
野   の
能   のう
農家  のうか
農業  のうぎょう
農民  のうみん
能力  のうりょく
軒   のき
残す  のこす
残り  のこり
乗せる のせる
除く  のぞく
望み  のぞみ
望む  のぞむ
後   のち
喉   のど
伸ばす のばす
伸びる のびる
述べる のべる
昇る  のぼる
場   ば
灰   はい
梅雨  ばいう
配達  はいたつ
俳優  はいゆう
墓   はか
馬鹿  ばか
博士  はかせ
計る  はかる
履く  はく
吐く  はく
拍手  はくしゅ
莫大  ばくだい
爆発  ばくはつ
博物館 はくぶつかん
激しい はげしい
破産  はさん
端   はし
始まり はじまり
外す  はずす
旗   はた
肌   はだ
裸   はだか
畑   はたけ
二十  はたち
働き  はたらき
発見  はっけん
発行  はっこう
発車  はっしゃ
罰する ばっする
発達  はったつ
発展  はってん
発表  はっぴょう
発明  はつめい
話し合う    はなしあう
離す  はなす
放す  はなす
離れる はなれる
羽   はね
幅   はば
母親  ははおや
省く  はぶく
場面  ばめん
腹   はら
原   はら
針   はり
張る  はる
番   ばん
範囲  はんい
反抗  はんこう
犯罪  はんざい
判断  はんだん
犯人  はんにん
販売  はんばい
灯   ひ
被害  ひがい
比較  ひかく
轢く  ひく
悲劇  ひげき
飛行  ひこう
膝   ひざ
非常  ひじょう
美人  びじん
額   ひたい
日付  ひづけ
必死  ひっし
引っ張る    ひっぱる
否定  ひてい
一言  ひとこと
人込み ひとごみ
等しい ひとしい
独り  ひとり
一人一人    ひとりひとり
批判  ひはん
批評  ひひょう
秘密  ひみつ
微妙  びみょう
紐   ひも
費用  ひよう
表   ひょう
秒   びょう
評価  ひょうか
表現  ひょうげん
表情  ひょうじょう
平等  びょうどう
評判  ひょうばん
表面  ひょうめん
広がる ひろがる
品   ひん
瓶   びん
便   びん
不   ふ
不   ぶ
無   ぶ
分   ぶ
不安  ふあん
風景  ふうけい
夫婦  ふうふ
笛   ふえ
不可  ふか
武器  ぶき
服装  ふくそう
含む  ふくむ
袋   ふくろ
不幸  ふこう
節   ふし
無事  ぶじ
不思議 ふしぎ
不自由 ふじゆう
夫人  ふじん
婦人  ふじん
不正  ふせい
防ぐ  ふせぐ
不足  ふそく
舞台  ぶたい
双子  ふたご
再び  ふたたび
普段  ふだん
縁   ふち
打つ  ぶつ
物価  ぶっか
物質  ぶっしつ
物理  ぶつり
筆   ふで
船   ふね
部分  ぶぶん
不平  ふへい
不満  ふまん
不利  ふり
振る  ふる
震える ふるえる
触れる ふれる
風呂  ふろ
分   ぶん
文   ぶん
雰囲気 ふんいき
分析  ぶんせき
文明  ぶんめい
分野  ぶんや
塀   へい
平均  へいきん
平和  へいわ
別に  べつに
減らす へらす
減る  へる
変化  へんか
勉強  べんきょう
変更  へんこう
弁当  べんとう
方   ほう
法   ほう
棒   ぼう
冒険  ぼうけん
方向  ほうこう
報告  ほうこく
宝石  ほうせき
放送  ほうそう
豊富  ほうふ
方法  ほうほう
方々  ほうぼう
訪問  ほうもん
吠える ほえる
他   ほか
外   ほか
誇り  ほこり
埃   ほこり
保証  ほしょう
保存  ほぞん
程   ほど
歩道  ほどう
仏   ほとけ
骨   ほね
炎   ほのお
頬   ほほ
頬   ほお
微笑む ほほえむ
褒める ほめる
濠   ほり
本当  ほんと
本当  ほんとう
本人  ほんにん
本物  ほんもの
間   ま
迷子  まいご
任せる まかせる
幕   まく
負け  まけ
孫   まご
真面目 まじめ
増す  ます
先ず  まず
貧しい まずしい
又   また
未だ  まだ
街   まち
間違い まちがい
松   まつ
真っ赤 まっか
真っ直ぐ    まっすぐ
全く  まったく
祭   まつり
学ぶ  まなぶ
真似  まね
招く  まねく
豆   まめ
守る  まもる
丸   まる
円   まる
丸い  まるい
回す  まわす
回り  まわり
万一  まんいち
満足  まんぞく
身   み
実   み
見送り みおくり
味方  みかた
見事  みごと
満ちる みちる
密   みつ
認める みとめる
皆   みんな
見舞い みまい
土産  みやげ
都   みやこ
妙   みょう
明後日 みょうごにち
未来  みらい
魅力  みりょく
見る  みる
無   む
向かい むかい
迎え  むかえ
向く  むく
向ける むける
無視  むし
虫歯  むしば
寧ろ  むしろ
結ぶ  むすぶ
無駄  むだ
夢中  むちゅう
胸   むね
無料  むりょう
芽   め
明確  めいかく
命じる めいじる
名人  めいじん
命令  めいれい
迷惑  めいわく
飯   めし
滅多に めったに
面   めん
綿   めん
免許  めんきょ
面倒  めんどう
申し込む    もうしこむ
申し訳 もうしわけ
毛布  もうふ
燃える もえる
目的  もくてき
目標  もくひょう
木曜  もくよう
文字  もじ
文字  もんじ
持ち上げる   もちあげる
用いる もちいる
勿論  もちろん
最も  もっとも
尤も  もっとも
元   もと
基   もと
素   もと
戻す  もどす
基づく もとづく
求める もとめる
者   もの
物音  ものおと
物語  ものがたり
物事  ものごと
模様  もよう
貰う  もらう
文句  もんく
役   やく
約   やく
訳   やく
役割  やくわり
家賃  やちん
厄介  やっかい
宿   やど
雇う  やとう
屋根  やね
破る  やぶる
辞める やめる
唯一  ゆいいつ
勇気  ゆうき
有効  ゆうこう
優秀  ゆうしゅう
優勝  ゆうしょう
友情  ゆうじょう
友人  ゆうじん
有能  ゆうのう
郵便  ゆうびん
夕べ  ゆうべ
有利  ゆうり
床   ゆか
愉快  ゆかい
輸出  ゆしゅつ
譲る  ゆずる
豊か  ゆたか
輸入  ゆにゅう
許す  ゆるす
夜   よ
夜明け よあけ
様   よう
酔う  よう
容易  ようい
陽気  ようき
要求  ようきゅう
用心  ようじん
様子  ようす
要するに    ようするに
要素  ようそ
要点  ようてん
曜日  ようび
予期  よき
横切る よこぎる
予算  よさん
止す  よす
予測  よそく
夜中  よなか
世の中 よのなか
余分  よぶん
予報  よほう
予防  よぼう
読み  よみ
嫁   よめ
余裕  よゆう
喜び  よろこび
宜しい よろしい
四   よん
来   らい
楽   らく
利益  りえき
理解  りかい
陸   りく
利口  りこう
離婚  りこん
理想  りそう
率   りつ
立派  りっぱ
留学  りゅうがく
流行  りゅうこう
量   りょう
両替  りょうがえ
料金  りょうきん
例   れい
礼   れい
礼儀  れいぎ
冷静  れいせい
列   れつ
列車  れっしゃ
練習  れんしゅう
連想  れんそう
連続  れんぞく
老人  ろうじん
労働  ろうどう
論じる ろんじる
論争  ろんそう
論文  ろんぶん
輪   わ
別れ  わかれ
脇   わき
分ける わける
僅か  わずか
綿   わた
話題  わだい
笑い  わらい
割る  わる
悪口  わるくち
我々  われわれ
湾   わん
間   あいだ
合う  あう
上る  あがる
赤ん坊 あかんぼう
空く  あく
浅い  あさい
味   あじ
明日  あす
遊び  あそび
集る  あつまる
集める あつめる
謝る  あやまる
安心  あんしん
安全  あんぜん
案内  あんない
以下  いか
以外  いがい
医学  いがく
生きる いきる
意見  いけん
石   いし
以上  いじょう
急ぐ  いそぐ
致す  いたす
一度  いちど
一生懸命    いっしょうけんめい
糸   いと
以内  いない
田舎  いなか
祈る  いのる
植える うえる
受付  うけつけ
受ける うける
動く  うごく
打つ  うつ
美しい うつくしい
写す  うつす
移る  うつる
腕   うで
裏   うら
売り場 うりば
運転  うんてん
運転手 うんてんしゅ
運動  うんどう
枝   えだ
選ぶ  えらぶ
遠慮  えんりょ
お祝い おいわい
億   おく
屋上  おくじょう
贈り物 おくりもの
送る  おくる
遅れる おくれる
起す  おこす
行う  おこなう
怒る  おこる
押し入れ    おしいれ
お嬢さん    おじょうさん
お宅  おたく
落る  おちる
夫   おっと
音   おと
落す  おとす
踊り  おどり
踊る  おどる
驚く  おどろく
お祭り おまつり
お見舞い    おみまい
お土産 おみやげ
思い出す    おもいだす
思う  おもう
表   おもて
親   おや
下りる おりる
折る  おる
お礼  おれい
折れる おれる
終わり おわり
海岸  かいがん
会議  かいぎ
会議室 かいぎしつ
会場  かいじょう
会話  かいわ
帰り  かえり
変える かえる
科学  かがく
鏡   かがみ
掛ける かける
飾る  かざる
火事  かじ
堅い  かたい
硬い  かたい
固い  かたい
形   かたち
片付ける    かたづける
課長  かちょう
勝つ  かつ
家内  かない
悲しい かなしい
必ず  かならず
お金持ち   おかねもち
彼女  かのじょ
壁   かべ
髪   かみ
噛む  かむ
通う  かよう
彼   かれ
彼ら  かれら
乾く  かわく
代わり かわり
変わる かわる
考える かんがえる
関係  かんけい
看護婦 かんごふ
簡単  かんたん
気   き
機会  きかい
危険  きけん
聞こえる    きこえる
汽車  きしゃ
技術  ぎじゅつ
季節  きせつ
規則  きそく
絹   きぬ
厳しい きびしい
気分  きぶん
決る  きまる
君   きみ
決める きめる
気持ち きもち
着物  きもの
客   きゃく
急   きゅう
急行  きゅうこう
教育  きょういく
教会  きょうかい
競争  きょうそう
興味  きょうみ
